Number,Teamname
614,Night Hawks
8544,Reinforcement
4375,Westend Gearbusters
1792,Round Table Robotics
4624,Rebel Alliance
2199,Robo-Lions
4256,Cyborg Cats
5000,Hammerheads
7797,Cloquet's RipSaw Robotics
4377,Boyne City Blaze
9603,MTECH
7491,Cyber Soldiers
102,The Gearheads
4541,CAVineers
3598,SEStematic Eliminators
3623,TerrorBots
7188,SaddleBots
4173,IMVERT (Mount Vernon Roboti...
8119,TigerBotics
7531,Servos Strike Back
900,The Zebracorns
2976,The Spartabots
6344,Yale Jiggawattz
9215,T-Town Tech
4276,Surf City Vikings
6152,Robo-Falcons
9585,RobUL
364,Team Fusion 364
1592,Bionic Tigers
3669,CarbonKnights
957,SWARM - South and West Alba...
141,WOBOT
4472,SuperNOVA
4983,IronBots
663,Robonauts
5992,Pirates
9495,TechKnow Difficulties
5109,Gladiator Robotics
3247,Robopack
8019,Patriot Engineering
4187,RoboRams
8430,The Hatch Batch
7436,8-Bit Miners
3200,Raptacon
6645,Alloy Obsession
4011,πρbοtics (Pi Robotics)
9175,BrainMachine-FRC
1939,THE KUHNIGITS
7657,ThunderBots
847,PHRED
1072,Harker Robotics
9566,Red Storm Rookies
3481,Bronc Botz
5740,Trojanators
8177,Vector
9168,AGROBOT
4462,Full Metal Jackets
9260,Built4Bibb Robotics
6004,f(x) Robotics
3574,HIGH TEKERZ
8370,Glow With The Flow
8708,Ov3R1y K0Mp13X
9446,C Cubed
2500,Herobotics
811,Wild Cards
5561,Raider Robotics
6417,Fridolins
3234,Red Arrows
1772,The Brazilian Trail Blazers
4573,Rambotics
5462,2PawR (2Paw Robotics)
6538,Linc-Bots
2165,BisonBots
6722,LED Robotics
2556,RadioActive Roaches
8604,Alpha Centauri
4598,ICARUS INNOVATED
6831,A-05 Annex
7553,OSTC - SWEET BOTS
5705,DESERT EAGLES - JOHN DEERE
321,RoboLancers
5438,Technological Terrors
6060,Circuit Serpents
5910,Supertronix
5837,Unity4Tech
5227,Eagle Elite
2990,Hotwire
1720,PhyXTGears
3792,Army Ants
1546,"Chaos, Inc."
4688,Saints Bot
4327,Q Branch
708,Hatters Robotics
5590,Alumiboti
3954,4-H Electrotechs
7667,OtterBots
8557,ConquEra
1138,Eagle Engineering
1572,The Hammer Heads
3205,Patriots
334,TechKnights
3473,Team Sprocket
7428,Gigawatts
8169,Aries
3597,Robo-Rangers
8020,CyberpunK
4513,Circuit Breakers
1797,Phoenix
9740,CAN://Bus
2181,GEARS
4160,The RoBucs
569,Rambots 569
8255,Robodogs
4456,Mech Cadets
5050,Cow Town Robotics
830,The RatPack
3932,The Dirty Mechanics
5461,Victorian Engineered Roboti...
5863,Hypercubed
7709,Formosa Pangolin
9199,SESI SENAI SHARKS
2534,Lumberjack Robotics
263,Aftershock
5959,PrepaTec - Titanium Rams
6996,Koalafied
8749,Farmersville Robotics
2890,The Hawk Collective
6128,M.O.T.O.R (More Than Our Ro...
6696,Cardinal Dynamics
2832,The Livonia Warriors
6226,Blue Devils
9461,SESI SENAI MecaChronos
171,Cheese Curd Herd
8849,Storm Robotics
7160,Ludington O-Bots
5586,Bond Brigade
1569,Haywire Robotics
358,Robotic Eagles
9003,TuTu Turtles
5503,Smithville Tiger Trons
2501,Bionic Polars
3418,RoboRiot
6073,Cav-Bots
7694,THE IRON LIONS
4308,ABSOLUTE ROBOTICS
4940,Knight Vision
3826,Sequim Robotics Federation ...
2861,Infinity's End
6317,Disruptive Innovation
3465,The Omega Factor
2656,Quasics
5926,Da MOOse
6357,The Spring Konstant
7127,LongMetal
2549,Millerbots
2667,Knights of the Valley
7480,Machine Mavericks
9121,Mavericks
5442,Mechanical Monarchy
1502,Technical Difficulties
238,Crusaders
7563,SESI SENAI MEGAZORD
9428,Springfield Robotics
3008,Team Magma
3229,Hawktimus Prime
333,MEGALODONS
8874,The Cybirds
8888,Flying Lions
1806,S.W.A.T.
3624,ThunderColts
5089,Robo-Nerds
766,M-A Bears
2374,Jesuit Robotics
564,Longwood RoboLions
5982,Circuits of Destruction
5098,STING - R
7902,Markham FireBirds
3100,Lightning Turtles
3568,RoboEagles
5935,Tech Tigers
4572,BArlow RobAutics
1277,The Robotomies
3550,Robotronix
8193,The Steel Stingers FRC
1610,⛴ Blackwater Robotics ⛴
2053,Southern Tier Robotics
2687,Team Apprentice
9659,Vanier Vikings
8132,Sysmik
2393,Robotichauns
6016,Tiger Robotics
167,Children of the Corn
3756,RamFerno
5115,Knight Riders
5674,The Gearhounds
5901,Electric Eels
6514,Sutton Robotics League
178,The 2nd Law Enforcers
2815,Blue Devil Mechanics
4330,Rambunction
4859,The CyBears
6104,Desert Eagles
8701,GRAFFITI
9280,PrepaTec - High Altitude Ro...
3881,WHEA Sharkbots
9721,Redhawk Robotics
3044,Team 0xBE4
5148,New Berlin Blitz
5112,The Gongoliers
4325,RoboRangers
6808,William Tennent Robotics
6874,Mediterra
6964,BearBots
5835,Sage Hill Robotics
6420,Fire Island Robotics
1164,Project NEO
1626,Falcon Robotics
2191,Flux Core
8891,Wild Raccoons
9575,Silver Robotics
1073,The Force Team
1523,MARS (Mega Awesome Robotic ...
2036,The Black Knights
4775,Aztech Robotics
5276,Edgar Allan Ohms
2172,Steel Unit-E
8051,TinkRex
599,The Robodox
9599,Colorful Panda
192,GRT
3490,Viper Drive
4674,RoboJacks
8528,AstroChimps
9169,AGROTECH
7225,Mechatronic Mustangs
6888,Foothills Robotics
2180,Zero Gravity
6170,Prepa Tecmilenio Vitronik
1280,Ragin' C-Biscuits
8775,Creekside
2712,Power Surge 4-H Robotics
6140,SMT Titans - The 'Tita'BOTS
9262,Humberside Huskies
253,Boba Bots
8116,Hatchet Robotics
968,RAWC (Robotics Alliance Of ...
6834,Bionic Warriors
2359,RoboLobos
702,Bagel Bytes
7136,Thistletown Scot Bots
5171,Deus Ex Machina
3838,Roc City Robotix
6181,Cryptic Cyborgs
2169,KING TeC
116,Epsilon Delta
6324,The Blue Devils
5145,WolfBotics
648,QC ELITE Flaming Squirrels
6465,Mystic Biscuit
6083,Overlooking
1810,CATATRONICS
5032,Falcons
3492,Putnam Area Robotics Team (...
1504,Desperate Penguins
2421,RTR Team Robotics
3009,High Scalers
61,The Intimidators
9101,Green Mountain Robotics
5985,Project Bucephalus
8266,Owlbot - Peñoles
7682,FUSION ROBOTICS
9787,9787
280,TnT
3257,Vortechs
5291,Emperius
5746,Human Error
3959,Mech Tech
5937,MI-Robotics
4951,CDS Cyclones
7196,Tech Tigers
8080,Sequoyah Robotics
5900,Career Blazer Robotics - Th...
7403,Lightning Blue Lizards
8422,Husky Howlers
8746,Knights
9777,Knights of the Lab Table
4159,CardinalBotics
7858,Warriors
1997,STAGROBOTICS
2345,Animal Control
9673,Ithaca YellowJackets
5526,Type C - Peñoles
6532,TechnoPaths
4398,Gladiators
5066,Singularity
9403,Starstuff
5468,Chaos Theory
66,Grizzly Robotics
21,ComBBAT
3388,Flash in memory of Margarit...
4198,RoboCats 4198
5002,Dragon Robotics
806,The Brooklyn Blacksmiths
2186,Dogs of Steel
4131,Iron Patriots
514,Entropy
2239,Technocrats
6419,ICE
1965,Firebirds
1977,The PowerSquids
4135,Iron Patriots
6989,KAISER
9031,Wildbots
7784,Vassar Voltage
117,Steel Dragons Robotics
5282,Railroader Robotics
5860,Full Metal Muskrats
6098,bIrobot
7425,Green Valley Robotics
8067,Alpha Lab
5036,The Robo Devils
7890,SeQuEnCe
2478,Westwood Robotics
8573,Rogue-Rangers LEGACY
8516,Wired Up
4213,MetalCow Robotics
5086,Cadillac Connectors
5914,Robotic Warriors
9739,Firefly
3313,Mechatronics
2358,Bearbotics
1279,Cold Fusion
5968,Little Apple Cyborgs
9226,GR Pioneers
2733,Pigmice
4590,GreenBlitz
6829,Ignite Robotics
7645,NK MTC
4277,Thingamajiggers
9648,Tigers Robotics
3695,Foximus Prime
4904,Bot-Provoking
3891,Rodeo Robotics
5417,Eagle Robotics
4653,Ironmen Robotics
9050,Tucanus
342,Burning Magnetos
6744,Mehlville Pi
6873,The Generals
1014,Bad Robots
2198,Paradigm Shift Robotics
2230,General Angels
7538,Metal Mountain
9024,Callister
9116,The Canucks & Bolts
4215,TRIBOTS
9054,Johnson City Joules
6936,Innovation Vault 6936
5547,The Talons
7619,illumiBOTi
1091,Oriole Assault
3843,ROBO RACERS
8736,The Mechanisms
5800,Magic Island Robotics
4153,Project Y
5141,GRIFFINITE
7086,IOROBOT
4992,Sparbotics
5410,Eaglebotics
9491,Silver Creek
3035,Droid Rage
3166,First Year Ravens
1559,Devil Tech
3952,Troy Robotics
6621,6621- Artemis Robotics
7094,Alpha Omega
533,The PSIcotics
7658,MagiTech
9492,LadyTalons
4821,cyberUs
6099,Knight Riders
9750,ED Robotics
2839,Daedalus
9500,G28 Robotics
5720,Jagobotics
7673,Formosan Sika
3482,Arrowbotics
6135,Arctos
5618,PLS
6704,Mid Pacific Owl Robotics
7183,W.A.R.
8569,Zhonghe
2022,Titan Robotics
2574,RoboHuskie
8077,Delmar Robotics Engineers A...
3712,RoboCats
578,R-cubed - Red Raider Robotics
7691,TSA All Stars
3566,Gone Fishin'
6859,BML Robotics
4669,Galileo Robotics
6637,BetaWolves
9080,ENIGMA
4575,Gemini
4911,CyberKnights
9469,LUMOS ROBOTICS
2773,IronDogz
4175,Coded Summit
6014,ARC
3681,Robo-Raiders
9580,#ChangeTheNow
25,Raider Robotix
9545,CARACAL ROBOTICS
7019,Rubber Ducks
9763,Cast Iron Clippers
6184,Capital City Chaotic Coders
9085,SESI SENAI MEGA HARPY
7849,Da Vinci's Creation
9663,Team Bosch
2027,Robotic Dragons
3381,Droid Rage
7659,HNMCS Robotics
9297,BOGOBOTS
128,The Botcats
7110,Heights Bytes
6479,AZTECH Robotics
7687,Corcebots - Peñoles
8595,This Is How We Play
4216,Blue Ops Robotics
4511,Power Amplified
4768,Cody Comets
8145,Tech Warriors
997,Spartan Robotics
4835,Junkyard Dawgs
6436,PARS ROBOTICS
7202,Cyber Orioles
6956,SHAM-ROCK-BOTICS ☘
3083,Artemis
3480,PrepaTec - ABTOMAT
8879,REDBird Robotics
9512,Horsepower
8280,K9.0 Robotics
4664,Butler Bots
698,Hamilton Microbots
9193,Kennedy
2626,Evolution
2064,The Panther Project
41,RoboWarriors
3734,StarBots
5887,PrepaTec-IMPERATOR
1322,GRAYT Leviathons (Genesee R...
2640,HOTBOTZ
9572,CC Shambytes
1723,The FBI - FIRST Bots of Ind...
4225,RoboCats
237,Black Magic Robotics
7567,SESI SENAI OCTOPUS
8152,Escouade
1769,Digital Hawks
4703,Menahga Gigabot$
8706,Malcolm X Shabazz Bulldogs
6404,Brazilian Storm
3636,Generals
193,MORT Beta
2641,Pittsburgh Central Catholic...
3352,3352 Flaming Monkeys 4-H Ro...
4401,CETMOV - Peñoles
7656,MC Hammers
1991,Dragons
6914,Retro5ive
9234,Les Aigles d'or
977,Cometbots
8532,Classified
3302,TurboTrojans
6097,Botcats
6864,Gryphtech Robotics
4501,Humans
8882,Infinity BR
3216,Missoula Robotics Team (MRT)
3361,Governators
9235,ThunderBolts
8127,Team Rabyte
8739,Redhawk Robotics
5136,MechaPirates
6122,Potential Energy
7503,Radicubs
8626,Cyber Sailors
9233,Luminous Robotics Team
4959,Millennium Falcons
2853,Hot Spot Robotics
2560,RoboDog
3610,Islanders
4662,Byte Sized Robotics
6305,Stable Circuits
8839,Shoshone Robotics
527,Red Dragons
5549,Gryphon Robotics
7475,WIRED Team 7475
6085,Green Devil Bots
7137,Project 212
3067,Robovikes
7153,Aetos Dios (Eagles of Zeus)
9068,The Chargers
6805,Cyber Jays
9602,CANINTECH
2224,RoboPhoenix
3324,The Metrobots
2344,The Saunders Droid Factory
2340,Xcentrics -Mercy Robotics
3019,Firebirds
3267,Mariner Robotics
4918,The Roboctopi
6390,Hephaestus
4005,Hostile Gato Robotics
4181,Quack Attack
9567,StormBreakers
8248,ChainLynx
2643,Dark Matter
4744,Ninjas
271,Mechanical Marauders
3026,Orange Crush Robotics
7064,Voltron Robotics
7247,Error 404
1721,Tidal Force
980,ThunderBots
484,Roboforce
6566,Battering Rams
1847,W.R.A.T.H (Wyandotte Roboti...
486,Positronic Panthers
5229,Heritage Hawkbots
6487,Clockwork Knights
9455,STEAM Syndicate FRC
3275,The Regulators
5588,Reign Robotics
3526,PrepaTec - Blue Ignition
6367,The ElectroLights
9450,Velocity Raptors
5876,ARTEMIS
6024,R Factor
2550,Skynet
677,Murphy's Outlaws
4990,Gryphon Robotics
7504,CyBearBots
4809,Black Knight Robotics
6434,Bossley Park High School
9508,MOGUERA
9674,Trojan Power Robotics
6706,GOLEM
9044,TeraViks
6694,INNOBOTICS
8115,Platinum Peacocks
8423,Next Express
8546,Linebreak
3007,Robotitans
8086,Robo Warriors
8352,Code Gold
378,The Circuit Stompers
9662,Valley Lutheran High School...
2450,Wind Chill
9038,SF UNITY
5298,E-TECH CHARGERS
9305,Mont
9474,3R (Red River Resistance)
3975,Les Dragons
4537,RoboRoos
7772,The Lucky 7's
2619,The Charge
7692,Beach Bums 7692
4013,Clockwork Mania
9112,RoboRavens
7413,Plus Ultra
2227,Tigers
2559,Normality Zero
2635,Lake Monsters
7577,VELABOTS - Peñoles
1836,The MilkenKnights
5331,Lightning Bots
5486,Robotic Turmoil
9046,SESI SENAI BBTECH
8732,Trinity Force
8016,Eco Robotics
991,BroncoBots
6998,Unipards
9462,Toefur's Titans
7509,Brainstorm Robotics
501,The PowerKnights
2813,Gear Heads
308,Monsters
291,CIA - Creativity In Action
4782,PrepaTec - Borrebots
8105,Apollo Black Cat - Peñoles
9212,Infinity Dogs
1389,The Body Electric
4619,HawkBots
709,Femme Tech Fatale
9001,Delta Force
9618,Tronarchs
4512,Otter Chaos
7072,O.G.R.E. (Opelika's Greates...
2673,Tenacious Technicians
5253,Bigfork Backwoods Bots 5253
6064,IstanBULLS
9082,No Limit
3049,BremerTron
9578,Player One
447,Team Roboto
9180,GHS Robotics - Ursa Major
7906,Underdogs
4050,Biohazard
1555,Cryofrost
5683,R.A.V.E.N.
6079,JET SET
9635,Cyber Rabbit
6705,WildCat 5e
1554,Oceanside Kraken
4723,Prepa Tecmilenio - EARTH - ...
5788,Eagle Spec Ops
5826,Avis Automata
6113,M.A.R.C. 1
8179,Robo Falcons
3300,Midwest WARRIORS
7054,SC Sailors
9139,Reserve Robotics
9706,R^3 (Redwood Ranger Robot...
5150,Hybrid Hornets
9134,Prepa Tecmilenio - DEVOLT
9569,Milliken Mills Silver Knights
1647,Iron Devils
5480,FYRE
854,Iron Bears
1735,Green Reapers
3329,Wildbots
5016,Huntington Robotics
3944,All Knights
7472,R2 Jesu Robotics
7224,RoboDrakens
5314,Ice Bots
5607,Team Firewall
9021,uSELESScASE
8742,Argyll Attack
203,SOUPERBOTS
4994,Kingston Robo-Cards
6070,Gryphon Machine
5212,TAMSformers Robotics
8531,TermiKnightors
4761,The Robockets
8397,Astrobots
1700,Gatorbotics
9710,Discovery PolyBotz
9459,SESI SENAI RPRT HAWKS
1071,Team MAX
9034,The Space Dolphins
9586,Anglebotics
9771,Frankfort Panthers
7417,Bionic Bombers
204,Eastern Robotic Vikings
339,Kilroy Robotics
8564,Disco Ducks
6620,The Northmengineers
8711,The Midnight Ostrich Runners
8880,Terra Cyborg
2978,Cavaliers
8140,RoboManiacs
3848,Bots in Shining Armour
6863,Squirrels
217,ThunderChickens
2352,Metal Mayhem
3117,Harfangs
4930,Electric Mayhem
9600,X-Flare Robotics
9088,NASA's Mark Infinity
9484,Robot's District
3137,T-Birds
5881,TVHS Dragons
6768,Denison Robo-Jackets
8771,PioTech
3017,Patriots
9552,Rambotics
7038,Totino-Grace Pizza Pi's
904,D Cubed
9147,The Joebots
8796,MEF Robotics
9584,Spartan2
2040,DERT - Dunlap Eagles Roboti...
5672,First Nations-STEM
2875,CyberHawks
8598,Electro-Knights
9005,Avian Robotics
3543,C4 Robotics
4991,Horsepower
4087,Voodoo Voltage
749,Ctrl V
1716,Redbird Robotics
812,The Midnight Mechanics
4906,The Collective
662,Rocky Mountain Robotics
9022,MC Robotics
8385,Metal Madness
5869,QHHS Aqueducks
955,Ctrl C
3807,Overland BlazerBots
6877,Mechanical Mustangs
9498,ZENSHIN Robotics
6488,RoboRams
6875,Amazon Warriors - Build A...
7561,Blue Flamingos
7716,JLW Formula 01
8784,HEVSEL
9151,RoboLynx
9555,TEAM HELIOS
4601,Circuit Birds
5025,Pacific Steel
9615,Redlands Robotics
9767,Magnificat Blue Streaks
1662,Raptor Force Engineering
4505,McDonogh Robotics
6088,Stephenson Eagles
9470,Ctl Alt Defeat
7515,Dark Side Robotics
1927,Tempest
8205,Mind Over Metal
3755,Dragon Robotics
4355,CP-BOTS - Peñoles
9486,ALPHASTORM FRC
8424,Tractor Technicians Next Gen
5666,Purple Lightning
7476,Aureus
5689,CK Cyber Pack
6055,BOSS
9047,SESI SENAI SC TechMaker Rob...
4480,UC-Botics
5295,Aldernating Current
9400,BagelBytes
3692,Rock N' Robotics
7130,Future Shock
5413,Stellar Robotics
6333,Scavenger Robotics
3038,ICE
6110,Doc Botics
701,RoboVikes
1359,Scalawags
4014,Pixelators
4146,Sabercats
8334,Titan Robotics
1828,BoxerBots
7035,MEF Thunders
7112,EverGreen
7602,Agri-bots
7755,Phantom Circuits
7757,Atomic Dishwashers
3288,Punchers
7900,Trial N' Terror
3680,Elemental Dragons
6348,PrepaTec - HORUS
4186,Alameda Aztechs
4952,Les Carnicas
6167,CB Bearbots
816,Anomaly
6515,Unimatics
8304,Robot MaSTrs
9574,Rock Bots
9772,Titans Robotics
5902,The Wire Clippers
3042,Cobalt Catalysts
8126,Control Freaks
9521,Humble Rumble
3294,Backwoods Engineers
4269,CardinalBots
5213,St. Ignace SHIELD
6237,Martin Motion
4010,PrepaTec - Nautilus
4314,Springfield Urban League Ab...
4787,Axiom
1257,Parallel Universe
3189,Circuit Breakers
5834,R3P2
1775,Tigerbytes
3958,Schrodinger's Cat
5234,MarauderBots
369,High Voltage Robotics
5726,RHUMBOTZ
3354,PrepaTec-TecDroid
348,Norwell Robotics
7672,SCORPIONS ROBOTICS
9143,Armor Robotics
6616,Mechanical Pumas
7245,LionBot Robotics
9181,PlatyPirates
3815,NF Raiders
8117,The Easton RoboRovers
71,Team Hammond
1802,Team Stealth
7540,Timberwolf Robotics
4692,Metal Mallards
8630,CAP ROBOTICS
8731,Wild WYRE
4734,The Iron Plainsmen
6005,Cardinaltronics
9102,CyborgBulls
6593,HyperDrive Robotics
9146,Backburners
8500,TNT Robotics
3632,D-Techs
8276,ETECHNOLOGY#8276
2375,Dragon Robotics
7220,Steel Falcons
2587,DiscoBots
1212,Sentinels
9548,NASA Bark River Bronconaughts
9164,Tech Vikings
9704,igKnighted
3090,Ramhawks
2090,Buff 'n Blue
5518,Techno Wolves
7483,Mechanically Challenged
1512,The Big Red
6987,Falcon Automation
3865,Riley WildBots
8789,The Lost 10mm Sockets
2898,Flying Hedgehogs
7201,Crobotics
2537,Space RAIDers
5493,SMAbotics AG
5555,Spartans
5268,The BioMech Falcons
6945,Children of the Corn
9702,Nexus Robotics
9066,Cavalo Vendado
6918,Napa Cellar Rats
8772,Magic City Wizards
7497,MARAHO
8041,Lake City Ultrabots
8827,CougarTrons
9513,Circuit Crew 9513_Caterpillar
9523,Archers
2262,Robo-Panthers
7048,Red River Rage
1329,ViPrs
1908,ShoreBots
7506,WILDCARDS
8713,Nordonia Knights
3606,BearMetal
5509,Like a Boss
2523,Tech Storm
3660,LIGHTSABERS
4656,Rock Solid Robotics
5560,Central Lake Trobotics
6690,MV roboPride
4169,Warrior Robotics
8293,Prepa Tecmilenio - Startech
5828,Westover Robotics
6814,Ellipse
1306,BadgerBOTS
2662,RoboKrew
6238,POPCORN PENGUINS 6238
9758,Panther Bots
3278,QWERTY Robotics
3704,RoboSapiens
9756,Robo Panthers
538,Renaissance Robotics
5806,Basement Lions
7840,EMONER ROBOTICS
7885,Panther Tech
4984,Bullseye
6512,Coastal Catastrophe 6512
8586,Firebirds Robotics
4093,Hardwired
668,The Apes of Wrath
7808,Kalkaska Dragoneers 7808
8114,Rocketeers
1518,Raider Robotics
4470,TiGears
7250,OsCODEa 0w|5
4584,SentinelFox Engineering
8349,Newbotics
8611,Cyber Patriots
9594,Ashley Bears
7700,West Tech Paladins
9641,Robotics71
5031,Full Metal Mustangs
5641,Byron Robotics
7119,Sunset RoboBison
8087,Cougar Pride Robotics
6741,Space monkeys
2028,Phantom Robotics
3405,ALChemists
6432,St Cathodes
7050,SARNIC
8774,REST Robotics
9232,IBBTECH
5248,Robo-Saxons
5980,East Grand Rapids Robotics
8840,Bay Robotics
296,Northern Knights
4306,Robokomodos
4851,JungleBots
8426,Automated Amphibians
5920,VIKotics
4485,Tribe Tech Robotics
7274,Brashear Bulls Robotics
8264,ATA ROBOTICS
6201,The Highlanders
8847,Milwaukee Cyber Cheese
2973,Mad Rockers
3212,YME Stingbots
6590,SaviTech
9061,Mechanical Mutts
9220,Geekos
9707,River Mill Academy
1601,Quantum Samurai
3298,ArrowBots
6963,Blood Sweat and Gears
3407,Wild Cards
8821,TVRT-Trojanbots
2477,Marauder Rascals
3802,✨RoboPOP✨
6920,Force Fusion
8521,CyberLions
9622,GRIDLOCK
5658,STORMBOTICS
4104,Cheney Circuit Cyclone-4104
5511,Cortechs Robotics
8503,Raid One
6588,Counter-Torque Robotics
9298,Greeni3s
9487,KRYPTON FRC
6885,The Pilots
9242,Hamady Hawks
2708,Lake Effect Robotics
6473,Rock Star Robotics
2445,RoboKAP
2152,S*M*A*S*H
2594,Naskcorpions
6397,Romero Robotics
7485,Mo Co Robo
28,Pierson Whalers
3139,Oxford Omega
8590,CAVBOTICS
6758,Otternauts
5261,Cyber Shock
3824,HVA RoHAWKtics
5190,Green Hope Falcons
3138,Innovators Robotics
2077,Laser Robotics
4741,WingNuts
6232,Florya Bisons
6402,GÖKTÜRKLER ROBOTICS
9621,Payload
5655,KelRot
9075,Wapakoneta High School (WHS...
9438,Leopard Robotics
5113,Combustible Lemons
8866,Innovation Robotics
7470,iRAMBOTS
5053,Lakers
9611,SESI SENAI SC CyberRain
1972,Searing Engineering
9573,MMHS
5247,Red Devil Robotics
545,ROBO-DAWGS
9475,Mon Valley Mammoths 4
5443,Les PATenteux
9059,COLTech Robotics
7747,Hancock High Tech
4019,Mechanical Paradise
6101,Strange Quarks
7272,Envirobots
1719,The Umbrella Corporation
181,Birds Of Prey
9006,Crescent Wing Robotics
9425,Intra Milwaukee
3451,The ANOMALY
5874,Tecmilenio Border Bots
8819,The ARC-TECH BEARS
2161,Robocats
4680,AzTech Eagles
6809,Aviators
7031,Duanesburg Jr./Sr. High School
7551,Extreme Mechanism
354,G-House Pirates
6622,Stan Robotix
4861,Beastbots
7441,Lancer EVO
8871,Saber Dynamics
7147,Falcons Senior Robo Team
9162,ALL MIGHT
9411,Rhapsodia mechanicus
9742,Walkerville Wildcats
3951,SUITS
9055,Knights of Katahdin (Ka TAH...
423,Simple Machines FRC 423
5756,REC'in Crew
4693,Talk Nerdy to Me
8717,Cyber Vipers
8721,DAIS NAID 8721
9138,Robo Hawks
2879,Oriole Robotics
4610,BearTecs
5498,The Wired Devils
9302,Northstar
428,RRIT
7323,TriTron
9435,Pure Imagination 2.0
6884,Deep-Space Robotics
8822,Lc3 Thunderbirds
457,⚙️ Grease Monkeys ⚙️
6712,Mountaineers
8022,Raging Hawk Robotics
7477,Giddy GOATS
3219,"TREAD (Trojan Robotics, Eng..."
5894,J.E.H.S. CyberJags
7243,Robo-Lobo-Bellos
9301,PrepaTec Chihuahua - MechRams
9048,SESI/SENAI P0t1BOT (Potibot)
9405,KNOS Robotics
4973,Gator Gears
9539,Junk Bots
1143,Cruzin' Comets
5231,The Radical Jays
5878,The Great Lakers
4571,Rambots
7634,New Hawks
1027,Mechatronic Maniacs
2679,Tiger Team
8600,Kernel Panic
9505,STEMBots
7177,Amal tayibe
1317,Digital Fusion
199,Deep Blue
94,The TechnoJays
5490,The Dark Byte
7155,The Robotic Rangers
9207,Redneck Robotics
9427,IDeer
2204,Rambots
5527,Cyber Phoenix
9404,Forge
9447,AsoTech Robo-lation
9522,Archimedes
5193,Pantheon
8790,Departure
3759,SMARTBOTS
4189,Chargers
4395,Dundee Vi-Borgs
5805,SMbly Required
3098,Waterford Robotics
2035,Rockin' Bots
240,TEMPEST
2984,Vikings Robotics
6854,Viking Robotics
8628,Newark School of Global Stu...
1672,Robo T-Birds
2410,Blue Valley CAPS Metal Must...
6071,The Aluminators
328,Penn Robotics Golden Rooks
2367,Lancer Robotics
6112,Cyberstangs
2856,Planetary Drive
7724,Molokai Robotics
8556,Lion Robotics
9178,Cyber One
9433,Lil' Timmy's Big Team
6567,The Broken Drill Bits
706,Cyberhawks
1246,Agincourt Skunkworks
7742,Cosmos Robot Works
3491,FUTURE Dinos
3627,The Jungle Robotics
3794,Prepa Tecmilenio WinT
7760,PomTech
8817,Buccaneer Robotics
6186,Hope BotCats1
9153,Bearcat Robotics
5124,West Torrance Robotics
8015,The Cheetahs
8029,Steel Bronco Robotics
3397,Robolions
5613,ThunderDogs
8507,Jagwire Robotics
9033,Ocebots
7085,Paranoid Androids
9627,Yellow Haze
7652,MiamiBeachBots
7717,Steam Punks
6723,Mechanical Mounties
8777,SafranTech
6038,ITOBOT
6107,CyberJagzz
9202,Silicon Valley Technos
3537,Delta Force 3537
6023,DISCBOTS
9219,Nine Tails
9562,Bishop Reding
7040,POTROBOTS
9100,Robo Roses
6944,Wolverines
8338,Boucherie Bears Robotics
8787,Mavericks
9477,Lambert Robotics
1943,Neat Team
3122,The Alluminators
496,Royals
2221,FHS Robodawgs
9125,Mechanical Magicians
4453,The Red Hot Chili Bots
9287,Bionic Bengals
9718,Wookie Mistakes
4118,Roaring Riptide
6428,STEMINEERS
9773,Wakefield - Marenisco
5243,Aegis Robotics
1051,Technical Terminators
1576,Voltrix
9743,Maple Valley Lions
2498,BearBotics
9731,All Saints Cougars
2068,Metal Jackets
3374,Jackson Hole RoboBroncs
9163,HYDRA
2518,Spartan Robotics
4817,One Degree North
5773,YAFL Mechatronics
8551,RoNex
9110,Atomiic
9519,MINERVA ROBOTICS
9251,Spartan Robotics
2177,The Robettes
7104,Benedictine Military School...
9089,ACS Phoenix
7254,Knowmads
7528,Nuts and Bolts
5339,Hurricanes
547,Falcon Engineering And Robo...
8058,IEL ROBOTICS
3408,cyberCubs
5005,Boyd-Buchanan Robotics
5197,Northwestern
6430,Kalsedon
9570,EH Pirates
9722,Burt Township Robotics
8297,WIHI Robo Wolves
8558,Prepa Tecmilenio Digital Go...
1763,Paséliens
5970,Beavertronics
7471,Robo Montagnards
5870,League of Logic
6132,Iron Rangers
9225,Evart Wildcats
7248,Tactical Hams
4290,Bots on Wheels
5103,Jaegernauts
5176,RoboBills
7145,Robocanes
6189,Cyber Raiders
5971,Raider Robotics Team
7037,Jeunes D'Argent - FresnilloPLC
5516,Iron Maple
5697,Bearcats
9680,SIA Phoenix Rising
7327,Metal Jackets
6527,Short SirKit
4416,Skynet
6895,Mechanical Madness 4-H
8056,Laissez Faire
8298,Mighty Morphing Banana Slugs
9712,Team Iron Sharks
744,Shark Attack
7583,Embers
5470,The Cowpunchers
9698,Boys & Girls Clubs of North...
3723,TEKnights
79,Team 79 Krunch
5430,Pirate Robolution
8234,Panthinators
9468,Team Sirius
9464,Attila Robotics
8878,ArrowBot
1308,Saint Ignatius High School ...
3822,Neon Krakens
4737,Atomigators
8780,TED ROBOTICS
9725,young law
3936,RoboBlitz 3936
6057,Thunderbots
4827,Minerbotics
7636,Robomania
5872,WiredCats
6632,Northview Robotics
9788,9788
2657,Team Thundercats
